ID	new_Prepositions_filtered	Imperfective lemma	Perfective lemma	group	Transit/Obj	arg_0	arg_1	arg_2	Examples: !Argument	comments: ?Complement *Collocation/Idiom	Distractors	Verb features
866		кодировать	закодировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
867		козырять	откозырять		—	HEAD:Noun + Case:Instrumental						
868		кокать	укокать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
869		колебать	поколебать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
870	от! в? между! под?	колебаться	поколебаться		—	HEAD:Preposition + Base:от + Gov_Case:Genitive	HEAD:Preposition + Base:между + Gov_Case:Instrumental					
871		колеть	заколеть		—							
872		колеть	oколеть		—							
873	по! в!	колотить	поколотить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:по + Gov_Case:Dative	HEAD:Preposition + Base:в + Gov_Case:Accusative					
874	в!	колоть	вколоть		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Accusative						
875		колоть	заколоть		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
876		колоть	расколоть		HEAD:Noun + Case:Accusative + Dependency_Type:obj		HEAD:Noun + Case:Instrumental					
877	в!	колоть	уколоть		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Accusative						
878		колошматить	отколошматить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
879		колпачить	околпачить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
880		кольцевать	закольцевать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
881		кольцевать	окольцевать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
882		командовать	скомандовать		—	HEAD:Noun + Case:Instrumental						
883		комбинировать	скомбинировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:с + Gov_Case:Instrumental						
884		комкать	скомкать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
885		комментировать	прокомментировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
886		компилировать	скомпилировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
887		комплектовать	скомплектовать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
888		комплектовать	укомплектовать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
889		компоновать	скомпоновать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
890		компостировать	закомпостировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
